text,Insult,Threat,Identity_Attack,Profanity,Toxicity,Severe_Toxicity
fuck this horrendous woman supertanskii trying to blame corbyn and his supporters for her nazi cosplaying little wonder she defends the racist baddiel,0.17924712747892466,0.0026300885303885777,0.08490974493115369,0.008956338418692603,0.25749059029842863,0.006358317494024643
baddiel rightfully calls out bigots who masquerade as “human rights activists” sound familiar,0.17820046615905147,0.0030956698807148506,0.10395889789423077,0.011489446834349045,0.23689464012426292,0.005578864315299925
shes a serial liar irelandpalestinianterritoriesraisedfist,0.6884260738864975,0.006497996569531473,0.07338407087314841,0.17641075147661192,0.5294135543130463,0.0302498253741103
she is completely delusional is she more concerned that someone she once thought was a friend now finds her so noxious that he is sharing old screenshots or is it the fact shes been outed as someone who found it funny to pose in a hitler moustache neither looks good grimacingface,0.39793329231763197,0.0100435803565577,0.09347590757764367,0.11949001295674665,0.38233108801680127,0.024680399922817675
yes i queried her support for baddiel politely and she went into orbit no debate no discussion just whooooosh wow,0.016569185516414012,0.0032031118052718195,0.0029128184546274747,0.006857479006334148,0.05091402536353282,0.001551689230620138
sorry which baddiel is that and what did they say,0.011771293550598378,0.003776135218478173,0.006405856574509877,0.011417070764535894,0.03953423676256797,0.0018836785783159042
did you know a decent amount of medical treatments we use today were the result of research that came from inhumane nazi and japanese involuntary experiments on jews and pows back around ww2 it is disturbing to learn how it was done,0.08488797714409409,0.011117999602127396,0.3506723456617476,0.05071223407804937,0.25671915141967033,0.014787960377474993
i actually watched a simple history video on those experiments one of the things was a japanese experiment that led to treating frostbite,0.010013447726680162,0.006605439047380894,0.02698232463533454,0.018365019858136482,0.04914383543499669,0.003298241793760156
careful now tango with how things have been going on tweeter people may start harassing you for using modern medicine xd,0.051574932512009425,0.09808624717194936,0.02876518372215784,0.0665366896835952,0.20672449846996516,0.009649342160955502
cannot actually wrap my head around the fact keffals said shes a person of color because shes italian i think its more likely well see the rapture tomorrow then keffals be a victim of racism because shes fucking italian,0.515514132402446,0.06810631979213685,0.7192052001300232,0.7044968335909094,0.7327109336219351,0.49075041331128144
ok bro its satire the word is wop not wap,0.010013447726680162,0.0018869485752567219,0.003733330722140999,0.015687163540328546,0.029064776295853367,0.004424118725194042
i predicted this in 1995,0.004195812129433982,0.005423578707192903,0.006312083508586053,0.008956338418692603,0.022077836748097525,0.0023600112193716584
has to be satire like what,0.009260084522671748,0.004420787319112444,0.0070622662617933155,0.012864559320369125,0.03267871618445316,0.0021867992673396727
hmm fill me in,0.015859261015052275,0.009757068926600748,0.008797063736016807,0.030808818057538722,0.03953423676256797,0.004539593359882032
why are we giving him praise when we all know if we asked him to speak up about racism he is the first to decline,0.06950446230302737,0.0042238096735936915,0.07684176916200118,0.01496341873272758,0.18512609072488106,0.006416054811368638
